FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
National Natural Science Foundation of China,9667,973 Program),187.0,Academy of Finland,213.0,NVIDIA Corporation,98.0,X. Li,28.0
National Science Foundation,1770,973 Program,150.0,Fundamental Research Funds for the Central Universities,154.0,Google,91.0,H. Zhang,27.0
Fundamental Research Funds for the Central Universities,1577,863 Program,108.0,Deanship of Scientific Research at King Saud University,98.0,Intel,71.0,J.,25.0
NSF,1526,111 Project,64.0,Chinese Academy of Sciences,97.0,Microsoft Research,62.0,J. Liu,23.0
National Institutes of Health,926,FAPEMIG,47.0,Hong Kong Polytechnic University,89.0,Microsoft,49.0,P. Shi,23.0
NSFC,791,AHRQ,46.0,City University of Hong Kong,74.0,Pfizer,43.0,H. Wang,23.0
National Research Foundation of Korea (NRF),761,863 Program),38.0,King Saud University,70.0,Semiconductor Research Corporation,42.0,Drs.,22.0
National Science Foundation of China,705,973 program,36.0,University of Malaya,70.0,Intel Corporation,40.0,L. Wang,22.0
Natural Science Foundation of China,679,NICTA,33.0,Innovative Research Team in University,61.0,Eli Lilly and Company,38.0,T.,21.0
NIH,621,"Operational Program ""Education and Lifelong Learning",32.0,Zhejiang University,57.0,GE Healthcare,35.0,Y. Wang,20.0
China Postdoctoral Science Foundation,573,Google Faculty Research Award,29.0,Tsinghua University Initiative Scientific Research Program,56.0,IBM,33.0,L. Shao,19.0
National Key Research and Development Program of China,510,Fundamental Research Funds for the Central Universities,28.0,Carnegie Mellon University,52.0,Sandia National Laboratories,33.0,Eli Lilly,19.0
Basic Science Research Program,508,CAPES,27.0,King's College London,46.0,Lundbeck,32.0,Li,18.0
National Basic Research Program of China,485,Semiconductor Research Corporation program,27.0,National University of Singapore,44.0,Oracle,30.0,X. Wang,16.0
European Commission,447,STARnet,25.0,University of Tokyo,44.0,"Merck & Co., Inc.",29.0,L. Chen,16.0
EPSRC,442,IEEE International Symposium,24.0,IITP (Institute for Information & communications Technology Promotion,44.0,Novartis Pharmaceuticals Corporation,28.0,Y. Jin,16.0
CNPq,436,Alzheimer's Association,24.0,Deanship of Scientific Research,44.0,Adobe,28.0,S. Zafeiriou,16.0
National Natural Science Foundation of China (NSFC),404,AFOSR,21.0,Nanyang Technological University,43.0,Takeda Pharmaceutical Company,26.0,X. Yao,16.0
European Union,370,ADNI,20.0,University of Southern California,39.0,NVIDIA,26.0,Yonglin Cao,16.0
Ministry of Education,362,AbbVie,20.0,Stanford University,38.0,Bristol-Myers Squibb Company,26.0,D. Tao,15.0
Australian Research Council,361,Graph Games,20.0,Southeast University,38.0,NeuroRx Research,26.0,J. Su,15.0
China Scholarship Council,345,NIHR,20.0,University of Washington,38.0,"Elan Pharmaceuticals, Inc.",24.0,Z. Wang,15.0
National Nature Science Foundation of China,343,PCORI,18.0,University of British Columbia,37.0,"Genentech, Inc.",24.0,M. Choi,14.0
Natural Sciences and Engineering Research Council of Canada,314,Heracleitus II,17.0,University of Melbourne,36.0,Biogen,24.0,A. Bargiela,14.0
JSPS KAKENHI,306,CONACYT,17.0,University of Macau,36.0,Fujirebio,23.0,S. Tong.,14.0
Natural Science Foundation of Jiangsu Province,285,MARCO,17.0,New Century Excellent Talents in University,36.0,Neurotrack Technologies,23.0,Zhang,14.0
National Research Foundation of Korea,280,111,17.0,Imperial College London,36.0,"Janssen Alzheimer Immunotherapy Research & Development, LLC.",22.0,Tobias Mutze,14.0
European Research Council,278,COMPETE,17.0,Central South University,36.0,"Meso Scale Diagnostics, LLC.",21.0,S. Tong,13.0
Spanish Ministry of Economy and Competitiveness,265,COMPETE Programme (operational programme for competitiveness,16.0,Department of Computer Science,31.0,EuroImmun,21.0,Y. Chen,13.0
National Key R&D Program of China,254,Oak Ridge Leadership Computing Facility,16.0,University of Sydney,30.0,"Araclon Biotech; BioClinica, Inc.",21.0,C.,13.0
German Research Foundation (DFG),247,863 program,15.0,Tsinghua University,29.0,Samsung Electronics,21.0,Y. Wang.,13.0
Agency for Healthcare Research and Quality,235,Open Access Publishing,15.0,Fundamental Research Funds for the Central University,29.0,Transition Therapeutics,20.0,D. Yue,13.0
"Ministry of Science and Technology, Taiwan",235,FAPERJ,15.0,University of Toronto,28.0,Piramal Imaging; Servier,20.0,Y. Li,13.0
Beijing Natural Science Foundation,233,Investissements d'Avenir,15.0,Fundamental Research Funds of Shandong University,28.0,Lumosity,20.0,M.,13.0
National Library of Medicine,231,Agency for Healthcare Research and Quality,15.0,Soonchunhyang University Research Fund,28.0,Pfizer Inc.,20.0,G.-P. Liu,13.0
Zhejiang Provincial Natural Science Foundation of China,219,Higher Education Sprout Project,14.0,Ningbo University,28.0,"CereSpir, Inc.",18.0,J. Cao,13.0
CAPES,218,IARPA,14.0,Beihang University,28.0,AstraZeneca,18.0,Y. Tan,12.0
U.S. National Science Foundation,217,PAPD,13.0,University of Bristol,28.0,Huawei,18.0,T. Vasilakos,12.0
NSERC,200,Grant-in-Aid for Scientific Research (C),13.0,University of Minnesota,27.0,Bristol-Myers Squibb,18.0,Shin-Akarui-Angou-Benkyou-Kai,12.0
Program for New Century Excellent Talents,200,973,13.0,Ghent University,27.0,Johnson & Johnson Pharmaceutical Research & Development LLC.,18.0,K.,12.0
Fundamental Research Funds for the Central Universities of China,196,NVIDIA,13.0,Chinese University of Hong Kong,27.0,Hoffmann-La Roche Ltd,18.0,D. Goldgof,12.0
Russian Foundation for Basic Research,195,"program ""Investments for the future",13.0,Patient-Centered Outcomes Research Institute (PCORI),27.0,Eisai Inc.,18.0,C. Li,12.0
European Regional Development Fund,193,SRC STARnet Centers,12.0,"Nanyang Technological University, Singapore",27.0,Ericsson,17.0,B.,12.0
US National Science Foundation,191,RCT,12.0,"Deanship of Scientific Research at King Saud University, Riyadh, Saudi Arabia",27.0,IXICO Ltd.,16.0,Y. Yang,12.0
National Science Foundation (NSF),187,AFRL,12.0,Fundamental Research Funds for the Central Universities of China,27.0,Samsung,15.0,M. Conti,12.0
DFG,184,Cross-Ministry Giga KOREA Project,12.0,University of Edinburgh,26.0,"UT-Battelle, LLC",14.0,R. Selmic,12.0
National Cancer Institute,184,Program for the High-end Talents of Hubei Province,11.0,Universiti Teknologi Malaysia (UTM),26.0,Sandia Corporation,14.0,Xiao Qin,11.0
DARPA,180,Labex MS2T,11.0,Harvard University,26.0,Lockheed Martin Corporation,13.0,B. Zhang,11.0
Swiss National Science Foundation,177,Grant-in-Aid for Scientific Research (B),11.0,King Abdullah University of Science and Technology (KAUST),25.0,Cisco Systems,13.0,Z. Li,11.0
FEDER,175,New Investigator Award,11.0,University of Michigan,24.0,ChemAxon,13.0,Q. Zhao,11.0
Natural Sciences and Engineering Research Council of Canada (NSERC),175,CONICYT,11.0,Lawrence Berkeley National Laboratory,24.0,"Synopsys, Inc.",13.0,Y. Ho,11.0
European Social Fund,172,FONDECYT,11.0,"King Abdulaziz University, Jeddah",24.0,Novartis,12.0,H. Lu,11.0
National High Technology Research and Development Program of China,169,CO-PRIVACY,11.0,Scientific Research Foundation of Graduate School of Southeast University,24.0,GlaxoSmithKline,12.0,K. Huang,11.0
Korea government (MSIP),163,Tesla K40 GPU,11.0,Royal Academy of Engineering,24.0,Nokia,12.0,F. Su,11.0
Spanish Government,154,Compute Canada,11.0,Faculty of Medicine,23.0,Nvidia,11.0,H. Lee,11.0
FCT,143,QUAREM,11.0,Northwestern Polytechnical University,23.0,CNPq,11.0,Ronald Yager,11.0
ERC,138,"CREST, JST",10.0,University of Padova,23.0,Philips Research,11.0,S. Hu,10.0
Ministry of Science and Technology,136,Discretization in Geometry and Dynamics,10.0,Seoul National University,23.0,Digital India Corporation,11.0,J. Lu,10.0
European Regional Development Fund (ERDF),135,PRACE,10.0,University of Maryland,23.0,Chemical Computing Group,11.0,R. Karri,10.0
Austrian Science Fund (FWF),134,RENATER,10.0,University of Cambridge,23.0,Cogstate,11.0,L. Wu,10.0
Israel Science Foundation,133,Army Research Laboratory,10.0,Nanjing University of Posts and Telecommunications,22.0,Tata Consultancy Services,11.0,P.,10.0
FAPESP,131,ERC,10.0,Wong Magna Fund,22.0,TerraSwarm,11.0,X. Zhang,10.0
National Institutes of Health (NIH),130,NRF,10.0,University of Hong Kong,22.0,Genentech,10.0,Lucy Nowell,10.0
Czech Science Foundation,129,"Projects of Large Infrastructure for Research, Development, and Innovations",10.0,Czech Technical University in Prague,22.0,TransCelerate BioPharma Inc,10.0,R. Mesiar,10.0
Office of Naval Research,126,EMRP,10.0,University of China,21.0,Health Dialog,10.0,L. Fang,10.0
Ministry of Science and Technology of Taiwan,126,VMD,10.0,University of Zurich,21.0,PPMI,10.0,H. Gao,10.0
German Research Foundation,125,Collaborative Innovation Center of Novel Software Technology and Industrialization,10.0,Patient-Centered Outcomes Research Institute,21.0,Cisco,10.0,M. J. Er,10.0
Engineering and Physical Sciences Research Council,125,JST CREST,10.0,Northwestern University,21.0,Amgen,10.0,Micha Sharir,10.0
ONR,125,MCIT,9.0,University of Pittsburgh,21.0,"Honeywell International, Inc.",10.0,P. R. China,10.0
Qatar National Research Fund,124,INRIA,9.0,University of Auckland,21.0,"Cadence Design Systems, Inc.",10.0,M. Celenk,10.0
"Ministry of Science, ICT & Future Planning",124,JUMP,9.0,Kyoto University,20.0,"Hitachi, Ltd.",9.0,R. Eagleson,10.0
Natural Science Foundation of Jiangsu Province of China,120,NIDILRR,9.0,Sichuan University,20.0,IBM Research,9.0,K. Chakrabarty,9.0
Canadian Institutes of Health Research,119,R&D project,9.0,"University of California, San Diego",20.0,VMware,9.0,Q. Zhang,9.0
European Union's Horizon 2020 research and innovation programme,115,BIOCAPS,9.0,University of North Carolina,19.0,Merck,9.0,Yasushi Ito,9.0
Research Council of Norway,115,CONICET,9.0,Vanderbilt University Medical Center,19.0,Hewlett Packard,9.0,D. Wang,9.0
"Ministry of Education, Science and Technology",115,QREN,9.0,Monash University,19.0,Amazon,9.0,H. Qiao,9.0
Natural Science Basic Research Plan in Shaanxi Province of China,115,Dagstuhl,9.0,Laboratory for Neuro Imaging,19.0,"CureApp, Inc",8.0,Robert D.,9.0
Medical Research Council,112,CNPq,9.0,Research Funds of Renmin University of China,19.0,Roche,8.0,Ms.,9.0
Swedish Research Council,112,JSPS,9.0,The University of Sydney,19.0,Facebook,8.0,R. Roberts,9.0
Spanish Ministry of Science and Innovation,108,PRIN,9.0,Northern California Institute for Research and Education,19.0,Microsoft Research Asia,8.0,Y. Xiang,9.0
China Post-Doctoral Science Foundation,108,R&D,9.0,Aalto University,19.0,VeraChem LLC,8.0,Z. Liu,9.0
EU,105,GBMF,9.0,Fujian Province University,19.0,"Synopsys, Inc",8.0,L. Shao.,9.0
NHS,102,Oak Ridge National Laboratory,9.0,Tehran University of Medical Sciences,18.0,Battelle,8.0,J. Wang,9.0
Natural Science Foundation of Guangdong Province,101,General Research Fund,9.0,Instituto de Telecomunicacoes,18.0,Fondazione Cariplo,8.0,Xuemin Lin,9.0
U.S. Department of Energy,101,Patient-Centered Cognitive Support,9.0,Georgia Institute of Technology,18.0,Meso Scale Discovery,8.0,P. De Wilde,9.0
Russian Science Foundation,101,Six Talent Peaks Project,9.0,University of Newcastle,18.0,AbbVie,8.0,S. Nahavandi,9.0
Air Force Office of Scientific Research,100,program Research and Development for Innovation,9.0,University of Waterloo,18.0,Xilinx,8.0,Q. Liu,9.0
Deutsche Forschungsgemeinschaft,99,ANR,9.0,University of Houston,18.0,Covance,8.0,Xiao Liu,9.0
Natural Science Foundation of Shandong Province,98,Prolific Research Group,9.0,Innovative Research Team in University of China,18.0,"Cadence Design Systems, Inc",8.0,Alan Shih,9.0
National Center for Advancing Translational Sciences,98,disease management services Health Dialog,8.0,Farr Institute,18.0,Schlumberger,7.0,Z. Zeng,9.0
Specialized Research Fund for the Doctoral Program of Higher Education,95,"Mathematical Modeling, Simulation, and Industrial Applications",8.0,Department of Mathematics,18.0,OpenEye Scientific Software,7.0,Alexander von Humboldt,8.0
US National Science Foundation (NSF),95,Google Research Award,8.0,Lee Kong Chian School of Medicine,18.0,Qualcomm,7.0,Christodoulos A. Floudas,8.0
European Research Council (ERC),94,GRAND NCE,8.0,Vanderbilt University,18.0,Vinnova,7.0,S.C. Gupta,8.0
NSF of China,93,Arthritis Research UK,8.0,University of Saskatchewan,17.0,Thomson Reuters,7.0,Peter Drotar,8.0
MINECO,93,H2020 Programme,8.0,Software Engineering Institute,17.0,LetPub,7.0,W. Yu,8.0
111 Project,91,HEMO,8.0,Fundamental Research Funds for the Central Universities of Central South University,17.0,EMC,7.0,Carl Gornitzki,8.0
National Key Basic Research Program of China,89,IBM DOME,8.0,Stanford,17.0,Adobe Research,7.0,Q. Wang,8.0
Science Foundation Ireland,89,Brain Korea 21 Plus Project,8.0,Michigan State University,17.0,Amazon Web Services,7.0,S. Massar,8.0
Research Fund for the Doctoral Program of Higher Education of China,88,ePRO Consortium,8.0,University of Sheffield,17.0,Jaguar Land Rover,6.0,Janssen-Cilag,8.0
Program for Changjiang Scholars,88,Coordinating Center,8.0,Universiti Teknologi Malaysia,17.0,"IXICO, Ltd.",6.0,GunBrit Knutsson,8.0
AFOSR,87,ASTRON,8.0,Free University of Bozen-Bolzano,17.0,CMC Microsystems,6.0,Hareth Al-Janabi,8.0
National Natural Science Foundation,87,GLISTEN,8.0,Huazhong University of Science and Technology,17.0,Merck & Co.,6.0,R. de Wolf,8.0
Ministerio de Economia y Competitividad,87,XSEDE,8.0,University of Queensland,17.0,Toyota,6.0,S. X. Yang,8.0
Priority Academic Program Development of Jiangsu Higher Education Institutions,87,XDATA program,8.0,UGC,17.0,Hoffmann-La Roche,6.0,S. Fiorini,8.0
"Ministry of Science, ICT and Future Planning",86,Australian Postgraduate Award,8.0,University of Florida,17.0,Yandex,6.0,Y. Cao,8.0
NIHR,86,UNESCO,8.0,Nanjing University,17.0,Mobile Fitness,6.0,Y. Zhang,8.0
FEDER funds,85,ALSPAC,8.0,Fundamental Research Funds for Central Universities,17.0,Novartis Pharma AG,6.0,Ying Zhang,8.0
ITRC (Information Technology Research Center),85,CISTER,8.0,Max Planck Society,17.0,"Eisai, Inc.",6.0,J. Chen,8.0
Army Research Office,84,CERC Survey,8.0,Columbia University,17.0,Vodafone,6.0,J. Zhu,8.0
National Key Research and Development Program,84,FRIB,8.0,Universitat Politecnica de Valencia,17.0,IBM Corporation,6.0,P. Gasti,8.0
NSF CAREER,82,REDES,8.0,University and Research,17.0,Avid Radiopharmaceuticals,6.0,T. Lin,8.0
"National Heart, Lung, and Blood Institute",81,JST,8.0,Northeastern University,16.0,BAE Systems,6.0,J. Zhang,8.0
China Scholarship Council (CSC),81,"Projects of Large Research, Development, and Innovations Infrastructures",8.0,Universiti Sains Malaysia,16.0,"Medpace, Inc.",6.0,Wang,8.0
"Research Grants Council of the Hong Kong Special Administrative Region, China",80,ADERSIM,8.0,"King Saud University, Riyadh, Saudi Arabia",16.0,"Samsung Electronics Co., Ltd",6.0,Q. Liu.,8.0
Institute for Information & communications Technology Promotion (IITP),77,Quality Enhancement Research Initiative,8.0,Patient-Centered Outcomes Research Institute (PCORI) Award,16.0,Biogen Idec Inc.,6.0,M. Kamal,8.0
Doctoral Fund of Ministry of Education of China,77,FAPEMA,8.0,University of North Carolina at Chapel Hill,16.0,Philips,6.0,Klas Moberg,8.0
Australian Research Council (ARC),76,Sectoral Operational Program for Increase of the Economic Competitiveness,7.0,"University of Padova, Italy",16.0,STMicroelectronics,6.0,Xiao Liang,8.0
Korean Government,76,Basic Science Research Program,7.0,University of Vigo,16.0,Servier,6.0,Tao Yue,8.0
Korea government (MSIT),76,Brain Research Program,7.0,Massachusetts Institute of Technology,16.0,Nextflow Software,6.0,L. Shi,8.0
National Social Science Foundation of China,74,SURF Cooperative,7.0,Charles University,16.0,Piramal,6.0,Molly Seshia,8.0
National Institute of Mental Health,74,NHMRC,7.0,Fudan University,16.0,ZonMw,6.0,Wenjie Zhang,8.0
NPRP,74,WU-Minn Consortium,7.0,"University of California, Riverside",16.0,Johnson & Johnson Pharmaceutical Research & Development LLC,6.0,Andrey Bronevich,8.0
National Research Foundation of Korea(NRF),73,MINECO,7.0,Shenzhen University,16.0,"National Technology and Engineering Solutions of Sandia, LLC.",6.0,Sheng Luo,8.0
National Funds,72,Google Faculty Award,7.0,University of Calgary,16.0,Pfizer Deutschland GmbH,6.0,May D. Wang,8.0
National Science Council of Taiwan,72,Thousand Talents Plan,7.0,Bialystok University of Technology,16.0,Acellera Ltd.,6.0,G. Acs,8.0
U.S. Government,71,CTSA,7.0,University of Malaya High Impact Research Grant,16.0,General Motors,6.0,H.R. Tiwary,8.0
European Union's Seventh Framework Programme (FP7/2007-2013),70,LISA initiative,7.0,University of Utah,16.0,Biogen Idec,6.0,Q. Tian,8.0
ARC,70,Google Focused Research Award,7.0,University of Illinois at Urbana-Champaign,15.0,"Meso Scale Diagnostics, LLC",5.0,Jian Liu,8.0
National Institute for Health Research,70,C-FAR,7.0,Universidad de Chile,15.0,Google Inc.,5.0,S. Liu,7.0
"MSIP (Ministry of Science, ICT and Future Planning), Korea",68,Digital Creativity Labs,7.0,University of Pennsylvania,15.0,Oracle Labs,5.0,Q. Xu,7.0
German Federal Ministry of Education and Research (BMBF),67,ISCIII,7.0,University College London,15.0,Central Hospital,5.0,Huang,7.0
Research Grants Council of Hong Kong,67,IDM Futures Funding Initiative,7.0,Brno University of Technology,15.0,Sanofi-Aventis Deutschland GmbH,5.0,C. Wang,7.0
National Natural Science Foundations of China,67,eMERGE Network,7.0,"University of California, Berkeley",15.0,Piramal Imaging; Servier; Synarc Inc.,5.0,M. K. Tiwari,7.0
National Institute of General Medical Sciences,66,CSIRO,7.0,University of Henan Province,15.0,Boeing Company,5.0,J. Q. Gan,7.0
Wellcome Trust,66,CYTED 2011,7.0,University of Manitoba,15.0,Flickr,5.0,T. Helleseth,7.0
CONACYT,65,Faculty Research Award,7.0,SFI Offshore Mechatronics,15.0,MediaTek Inc.,5.0,L. Hanzo,7.0
German Federal Ministry of Education and Research,65,ARIC,7.0,Khon Kaen University,15.0,Toyota entity,5.0,Nicola Guarino,7.0
Norwegian Research Council,64,PNCDI III,7.0,UCB,15.0,Siemens,5.0,Jian Zhang,7.0
National Institute on Aging,64,INSPIRE,7.0,University and Research (MIUR),15.0,Altera,5.0,J. Basak,7.0
Slovenian Research Agency,63,SIX,7.0,Department of Electrical and Computer Engineering,15.0,LG Electronics,5.0,S. Chen,7.0
Spanish MINECO,63,Innovative Research Team,7.0,King Fahd University of Petroleum and Minerals,15.0,SERVIER Canada Inc,5.0,X. Zeng,7.0
Deutsche Forschungsgemeinschaft (DFG),63,BERC 2014-2017 program,7.0,Institute for Information and Communications Technology Promotion,15.0,Statoil,5.0,Christian Timmerer,7.0
Spanish Ministerio de Economia y Competitividad,63,FAPESP,7.0,University of Oxford,14.0,Kongsberg Maritime,5.0,W. Wu,7.0
Alexander von Humboldt Foundation of Germany,62,FARSEEING,7.0,Alan Turing Institute,14.0,Ford Motor Company,5.0,Rui Zhang,7.0
National Key Research and Development Plan,62,FEDER,7.0,Universiti Kebangsaan Malaysia,14.0,Telecom ParisTech,5.0,J. Solomon,7.0
Engineering and Physical Sciences Research Council (EPSRC),61,973 Project,7.0,University of Pisa,14.0,NVIDIA corporation,5.0,G.,7.0
National Basic Research 973 Program of China,61,R&D program,7.0,University of Wollongong,14.0,Crown Castle,5.0,H. Chen,7.0
Australian Government,61,Human Connectome Project,7.0,IITP(Institute for Information & communications Technology Promotion,14.0,Microsoft Corporation,5.0,G.-P. Liu.,7.0
ANR,61,IDEC,7.0,Department of Computer Science and Engineering,14.0,Sprint,5.0,F. Wu,7.0
ISF,61,ARUB program,7.0,McGill University,14.0,Honeywell International Inc.,5.0,L. Han,7.0
ERDF,61,ARL,7.0,Harvard Medical School,14.0,"UChicago Argonne, LLC",5.0,W. Hu,7.0
National Science and Technology Major Project,61,Centro de Referencia em Radiocomunicacoes,7.0,North Carolina State University,14.0,"Amazon Web Services, Inc",5.0,Kamil Ugurbil,7.0
Guangdong Natural Science Foundation,59,OSLO,6.0,Arizona State University,14.0,Rohm Corporation,4.0,H. Park,7.0
Defense Advanced Research Projects Agency,59,985,6.0,Beijing University of Posts and Telecommunications,14.0,"Lilly Endowment, Inc. Physician Scientist Initiative",4.0,David Van Essen,7.0
Generalitat Valenciana,59,Fapemig,6.0,Carlos III Health Institute,14.0,Televic NV,4.0,R. Lynch,7.0
Natural Science Foundation of Hebei Province,57,BeingTogether Centre,6.0,Johns Hopkins University,14.0,MITRE Corp.,4.0,D. Tao.,7.0
Scientific and Technological Research Council of Turkey,57,MindBytes,6.0,Chulalongkorn University,14.0,Maastricht Instruments Ltd.,4.0,G.-B. Huang,7.0
French National Research Agency (ANR),57,JCYJ20160531192358466,6.0,Duke University,14.0,Mobile. Net Safety Committee Group,4.0,R. Roberts.,7.0
Netherlands Organisation for Scientific Research (NWO),55,Linked Open Data,6.0,Huaqiao University,14.0,IDEC,4.0,Han,7.0
Japan Society for the Promotion of Science,53,Aim for the Top University Plan,6.0,University of the Basque Country,14.0,Volkswagen,4.0,Ioannis Maghiros,7.0
Qatar Foundation,53,ELLIIT,6.0,RWTH Aachen University,14.0,Televic Healthcare,4.0,G. Pirlo,7.0
Scientific and Technological Research Council of Turkey (TUBITAK),53,OASIS Health,6.0,New York University,13.0,LifeScan,4.0,Dr Beeler,7.0
Aeronautical Science Foundation of China,53,VeriPol,6.0,National Research University Higher School of Economics,13.0,Tencent,4.0,W. Pedrycz,7.0
Junta de Andalucia,53,NIDDK Central Repositories,6.0,Faculty of Engineering,13.0,"Genentech, Inc",4.0,Patricia Flatley Brennan,7.0
Specialized Research Fund for the Doctoral Program of Higher Education of China,53,Postgraduate Enterprise Partnership Scheme,6.0,University of Padua,13.0,"Samsung Electronics Company, Ltd.",4.0,J. Kim,7.0
Polish National Science Centre,52,FWO,6.0,University of Copenhagen,13.0,"Google, Inc.",4.0,Shah,6.0
Australian Research Council Discovery Project,52,ELCI,6.0,Pennsylvania State University,13.0,Accenture,4.0,S. Cruces,6.0
ARO,52,WetakeCare: ICT-based Solution for (Self-) Management of Daily Living,6.0,College of Engineering,13.0,Intelligent Systems Center,4.0,H. Ishibuchi,6.0
"Department of Science and Technology, Government of India",51,CPER Data,6.0,King Abdulaziz University,13.0,TerraSwarm Research Center,4.0,J. Haueisen,6.0
Ministry of Education and Science of the Russian Federation,51,Automatic System for Early Diabetic Retinopathy Detection by Retinal Digital Images Analysis,6.0,University of Ottawa,13.0,C-SPIN,4.0,Dacheng Tao,6.0
British Heart Foundation,51,Software for Exascale Computing,6.0,Program for New Century Excellent Talents in University,13.0,"National Technology and Engineering Solutions of Sandia, LLC",4.0,Yi Wang,6.0
NSERC Discovery Grant,51,IBM Faculty Award,6.0,University of Alberta,13.0,"Google, Inc",4.0,H. Huang,6.0
Simons Foundation,51,ERDF,6.0,IITP (Institute for Information & Communications Technology Promotion,13.0,Lockheed Martin,4.0,Copel,6.0
Natural Sciences and Engineering Research Council (NSERC) of Canada,50,Human Resources Program in Energy Technology,6.0,University of Southampton,13.0,Alpe d'HuZes,4.0,Sarah Iribarren,6.0
Fundacao para a Ciencia e a Tecnologia,50,NOTUR,6.0,University of East Anglia,13.0,Hoffmann-La Roche Ltd.,4.0,Ingrid Nunes,6.0
Economic and Social Research Council,50,Google Faculty Award 2013,6.0,Taipei Medical University,13.0,S.E.M,4.0,Dylan Small,6.0
Beijing Municipal Natural Science Foundation,50,Operational Program Research and Development for Innovations,6.0,Department of Medicine,12.0,Saudi Electricity Company,4.0,A. Afzali-Kusha,6.0
National Research Foundation,50,IRB,6.0,University of Turku,12.0,Edanz Group,4.0,Alfred P. Sloan Fellowship,6.0
US National Institutes of Health,50,Multimedia Tools and Applications,6.0,Sun Yat-sen University,12.0,ThinTek LLC,4.0,Samuel Alper,6.0
Spanish,50,Systems on Nanoscale Information fabriCs,6.0,Chang Gung University,12.0,Colgate-Palmolive Company,4.0,D. A. Abbink,6.0
Agency for Healthcare Research and Quality (AHRQ),50,ANANUM,6.0,University of Science and Technology of China,12.0,Symantec,4.0,Malay K. Kundu,6.0
Science and Technology Commission of Shanghai Municipality,49,Marvin package,6.0,University of Stuttgart,12.0,Medisch Centrum Aarschot,4.0,Jose Duarte,6.0
Natural Science Foundation of China (NSFC),49,IEEE/ACM TRANSACTIONS,6.0,University of Chicago,12.0,Compagnia di San Paolo,4.0,C. Smidts,6.0
ICT R&D program of MSIP/IITP,49,Content Centric Networking: Security and Privacy Issues,6.0,University of Ljubljana,12.0,Turk Telekom,4.0,Bjorn Jespersen,6.0
US Department of Energy,49,IEEE MultiMedia,6.0,School of Computer Science,12.0,"National Technology & Engineering Solutions of Sandia, LLC",4.0,Campion,6.0
Natural Science Foundation of Fujian Province,48,TEMPEST,6.0,Purdue University,12.0,DTE Energy,4.0,P. P. Angelov,6.0
Ministry of Education of China,48,Health Workforce Department,6.0,Department of Biomedical Informatics,12.0,Industry Partner,4.0,Brandon Lucia,6.0
European Union's Seventh Framework Programme,48,Flemish Building Registry,6.0,University of Birmingham,12.0,"Merck & Co, Inc",4.0,Catarina Brites,6.0
National Health and Medical Research Council,48,NWO,6.0,Fujian Normal University Innovative Research Team,12.0,Nikon AG,4.0,W. Shen,6.0
National Research Foundation of Korea Grant,48,iSante,6.0,Chapel Hill,12.0,Teva,4.0,P. Shi.,6.0
Science and Technology Planning Project of Guangdong Province,48,CINECA,6.0,Department of Biostatistics,12.0,ASCO,4.0,Dr. McCoy,6.0
FAPERJ,48,PhD Scholarship Programme,6.0,Incheon National University Research Grant,12.0,InterVision Media,4.0,Vinnova,6.0
Fundacao para a Ciencia e a Tecnologia (FCT),48,Optique,6.0,Harbin Institute of Technology,12.0,P.O. Box,4.0,Tracy Roberts,6.0
Natural Science Foundation of Zhejiang Province,48,LABEX PRIMES,6.0,National Taiwan University,12.0,Spirig AG,4.0,H. Yu,6.0
"Fundamental Research Funds for the Central Universities, China",48,Discovery Grant,6.0,Instituto Politecnico Nacional,12.0,Seagate,4.0,E. Santos,6.0
Qatar Foundation),48,Department of Veterans Affairs,6.0,Brown University,12.0,Cars Homes,4.0,J. Swan,6.0
"National Science Council, Taiwan",48,PL-Grid Infrastructure,6.0,National Human Genome Research Institute,12.0,Nvidia Corporation,4.0,Manuel Salvadores,6.0
NRF,47,HowNutsAreTheDutch,6.0,ETH Zurich,12.0,Boone NV,4.0,J. Wachs,6.0
National Institute of Diabetes and Digestive and Kidney Diseases,47,Special Program for Applied Research on Super Computation of the NSFC-Guangdong Joint Fund,6.0,Universite de Lyon,12.0,Google Inc,4.0,N. Wu,6.0
"Natural Science Foundation of Jiangsu Province, China",47,CCP-SAS,6.0,RMIT University,12.0,Vincent Medical,4.0,N.,6.0
Natural Science Foundation of Anhui Province,47,TASSEL,6.0,Jilin University,12.0,Teva Pharmaceuticals,4.0,Dr Tang,6.0
Next-Generation Information Computing Development Program,47,IEEE INFOCOM 2012,6.0,University of Texas,11.0,Samsung electronics,4.0,K.-S. Hwang,6.0
FAPEMIG,47,ICT Consilience Creative Program,6.0,Iowa State University,11.0,Deutsche Forschungsgemeinschaft,4.0,Liang Zhou,6.0
US Government,47,INREDIS,6.0,"Fundamental Research Funds for the Central Universities, China",11.0,"Huawei Technologies Co., Ltd",4.0,C. Fonseca,6.0
Hong Kong Research Grants Council,47,Center for Advancing Electronics Dresden,6.0,Universidad de Concepcion,11.0,Amazon EC2,4.0,Nil,6.0
Canadian Institutes of Health Research (CIHR),47,Security Horizons,6.0,Chern Institute of Mathematics,11.0,Sanofi Genzyme,4.0,G. Ge,6.0
973 Program of China,46,Tesla K40,6.0,Anhui University,11.0,IXICO Ltd,4.0,Hajo Rijgersberg,6.0
